tau,discrepancy_scale,noise_floor,feasible_rate,T_tau_median_us,T_tau_ci90_width_us,chance_constraint_satisfaction_rate,out_of_sample_violation_rate
1e-05,1.0,1e-05,0.0,,,0.0,1.0
1e-05,1.0,2.5e-05,0.0,,,0.0,1.0
1e-05,2.5,1e-05,0.0,,,0.0,1.0
1e-05,2.5,2.5e-05,0.0,,,0.0,1.0
1e-05,5.0,1e-05,0.0,,,0.0,1.0
1e-05,5.0,2.5e-05,0.0,,,0.0,1.0
0.0001,1.0,1e-05,0.0,,,0.0,1.0
0.0001,1.0,2.5e-05,0.0,,,0.0,1.0
0.0001,2.5,1e-05,0.0,,,0.0,1.0
0.0001,2.5,2.5e-05,0.0,,,0.0,1.0
0.0001,5.0,1e-05,0.0,,,0.0,1.0
0.0001,5.0,2.5e-05,0.0,,,0.0,1.0
0.001,1.0,1e-05,0.0,,,0.0,1.0
0.001,1.0,2.5e-05,0.0,,,0.0,1.0
0.001,2.5,1e-05,0.0,,,0.0,1.0
0.001,2.5,2.5e-05,0.0,,,0.0,1.0
0.001,5.0,1e-05,0.0,,,0.0,1.0
0.001,5.0,2.5e-05,0.0,,,0.0,1.0
0.01,1.0,1e-05,1.0,0.20359260837119497,0.04008364962783506,1.0,0.0
0.01,1.0,2.5e-05,1.0,0.20359678487931587,0.04024663915412226,1.0,0.0
0.01,2.5,1e-05,1.0,0.2035836909344222,0.08027846157971978,0.99874,0.00126
0.01,2.5,2.5e-05,1.0,0.20346963028945753,0.0803658708940816,0.9986966666666667,0.0013033333333333334
0.01,5.0,1e-05,1.0,0.3053452563953022,0.22058118792656217,0.9999666666666667,3.3333333333333335e-05
0.01,5.0,2.5e-05,1.0,0.30516527899317086,0.22018687070751727,0.9999800000000001,2e-05
